h_date;h__;d_date;d__;M_date;M__;Y_date;Y__
2021-04-26T17;20.00;2021-04-26;27.60;2021-04;0;2021;40.00
2021-04-26T18;20.00;2021-04-27;27.60;2021-05;50.00;;
2021-04-26T18;20.00;2021-04-28;27.60;2021-06;50.00;;
2021-04-26T18;20.00;2021-04-29;27.60;2021-07;50.00;;
2021-04-26T20;20.00;2021-04-30;27.60;2021-08;40.00;;
2021-04-26T22;20.00;2021-05-01;27.60;;;;
2021-04-26T23;20.00;2021-05-02;27.60;;;;
2021-04-27T01;20.00;2021-05-03;27.60;;;;
2021-04-27T01;20.00;2021-05-04;27.60;;;;
2021-04-27T03;20.00;2021-05-05;27.60;;;;
2021-04-27T03;20.00;2021-05-06;27.60;;;;
2021-04-27T03;20.00;2021-05-07;27.60;;;;
2021-04-27T03;20.00;2021-05-08;27.60;;;;
2021-04-27T05;20.00;2021-05-09;27.60;;;;
2021-04-27T07;20.00;2021-05-10;27.60;;;;
2021-04-27T07;20.00;2021-05-11;27.60;;;;
2021-04-27T09;20.00;2021-05-12;27.60;;;;
2021-04-27T09;20.00;2021-05-13;27.60;;;;
2021-04-27T10;20.00;2021-05-14;27.60;;;;
2021-04-27T10;20.00;2021-05-15;27.60;;;;
2021-04-27T11;20.00;2021-05-16;27.60;;;;
2021-04-27T11;20.00;2021-05-17;27.60;;;;
2021-04-27T12;20.00;2021-05-18;27.60;;;;
2021-04-27T13;20.00;2021-05-19;27.60;;;;
2021-04-27T14;20.00;2021-05-20;27.60;;;;
2021-04-27T15;20.00;2021-05-21;27.60;;;;
2021-04-27T16;20.00;2021-05-22;27.60;;;;
2021-04-27T16;20.00;2021-05-23;27.60;;;;
2021-04-27T17;20.00;2021-05-24;27.60;;;;
2021-04-27T17;20.00;2021-05-25;27.60;;;;
2021-04-27T21;20.00;2021-05-26;50.00;;;;
2021-04-28T00;20.00;2021-05-27;50.00;;;;
2021-04-28T02;20.00;2021-05-28;50.00;;;;
2021-04-28T03;20.00;2021-05-29;50.00;;;;
2021-04-28T05;20.00;2021-05-30;50.00;;;;
2021-04-28T05;20.00;2021-05-31;50.00;;;;
2021-04-28T06;20.00;2021-06-01;50.00;;;;
2021-04-28T07;20.00;2021-06-02;50.00;;;;
2021-04-28T07;20.00;2021-06-03;50.00;;;;
2021-04-28T07;20.00;2021-06-04;50.00;;;;
2021-04-28T10;20.00;2021-06-05;50.00;;;;
2021-04-28T12;20.00;2021-06-06;50.00;;;;
2021-04-28T14;20.00;2021-06-07;50.00;;;;
2021-04-28T16;20.00;2021-06-08;50.00;;;;
